Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,btts,over_2_5,result,home_form,away_form,h2h_wins,home_avg_gs,home_avg_gc,away_avg_gs,away_avg_gc,form_diff,gs_diff,gc_diff
2015-11-28,Ath Madrid,Espanol,1,0,H,0,0,0,13,7,0,1.4,0.4,1.4,1.4,6,0.0,-0.9999999999999999
2015-11-29,Eibar,Real Madrid,0,2,A,0,0,2,8,9,0,1.4,1.2,2.2,1.8,-1,-0.8000000000000003,-0.6000000000000001
2015-11-29,Getafe,Villarreal,2,0,H,0,0,0,4,5,0,1.2,2.2,0.8,1.4,-1,0.3999999999999999,0.8000000000000003
2015-11-29,Sevilla,Valencia,1,0,H,0,0,0,7,10,0,2.0,1.4,2.6,0.8,-3,-0.6000000000000001,0.5999999999999999
2015-11-29,Vallecano,Ath Bilbao,0,3,A,0,1,2,7,10,0,1.6,1.6,2.0,1.2,-3,-0.3999999999999999,0.40000000000000013
2015-12-05,Betis,Celta,1,1,D,1,0,1,7,6,0,0.8,1.0,1.4,2.6,1,-0.5999999999999999,-1.6
2015-12-05,Granada,Ath Madrid,0,2,A,0,0,2,6,13,0,1.4,1.2,1.2,0.4,-7,0.19999999999999996,0.7999999999999999
2015-12-05,La Coruna,Sevilla,1,1,D,1,0,1,8,9,0,1.2,0.8,2.0,1.2,-1,-0.8,-0.3999999999999999
2015-12-05,Real Madrid,Getafe,4,1,H,1,1,0,9,4,0,2.0,1.8,0.8,2.2,5,1.2,-0.40000000000000013
2015-12-05,Valencia,Barcelona,1,1,D,1,0,1,7,15,0,2.0,1.0,3.2,0.2,-8,-1.2000000000000002,0.8
2015-12-06,Ath Bilbao,Malaga,0,0,D,0,0,1,12,4,0,2.2,0.8,0.8,1.2,8,1.4000000000000001,-0.3999999999999999
2015-12-06,Sociedad,Eibar,2,1,H,1,1,0,6,7,0,1.6,1.8,1.2,1.4,-1,0.40000000000000013,0.40000000000000013
2015-12-06,Sp Gijon,Las Palmas,3,1,H,1,1,0,3,5,0,0.4,1.8,0.8,1.2,-2,-0.4,0.6000000000000001
2015-12-06,Villarreal,Vallecano,2,1,H,1,1,0,5,7,0,0.6,1.4,1.2,1.2,-2,-0.6,0.19999999999999996
2015-12-07,Espanol,Levante,1,1,D,1,0,1,4,4,0,0.8,1.4,0.8,1.8,0,0.0,-0.40000000000000013
2015-12-11,Getafe,Sociedad,1,1,D,1,0,1,4,6,0,1.0,2.0,1.2,2.0,-2,-0.19999999999999996,0.0
2015-12-12,Barcelona,La Coruna,2,2,D,1,1,1,13,9,0,2.8,0.2,1.4,0.6,4,1.4,-0.39999999999999997
